date,age_group,ncase
16/03/2020,<1,1
16/03/2020,1 to 4,0
16/03/2020,5 to 14,4
16/03/2020,15 to 24,28
16/03/2020,25 to 34,48
16/03/2020,35 to 44,62
16/03/2020,45 to 54,40
16/03/2020,55 to 64,46
16/03/2020,65+,42
17/03/2020,<1,1
17/03/2020,1 to 4,1
17/03/2020,5 to 14,8
17/03/2020,15 to 24,38
17/03/2020,25 to 34,64
17/03/2020,35 to 44,78
17/03/2020,45 to 54,49
17/03/2020,55 to 64,54
17/03/2020,65+,57
18/03/2020,<1,1
18/03/2020,1 to 4,1
18/03/2020,5 to 14,9
18/03/2020,15 to 24,47
18/03/2020,25 to 34,78
18/03/2020,35 to 44,96
18/03/2020,45 to 54,62
18/03/2020,55 to 64,69
18/03/2020,65+,75
19/03/2020,<1,2
19/03/2020,1 to 4,2
19/03/2020,5 to 14,10
19/03/2020,15 to 24,56
19/03/2020,25 to 34,110
19/03/2020,35 to 44,121
19/03/2020,45 to 54,95
19/03/2020,55 to 64,85
19/03/2020,65+,102
20/03/2020,<1,3
20/03/2020,1 to 4,2
20/03/2020,5 to 14,12
20/03/2020,15 to 24,63
20/03/2020,25 to 34,127
20/03/2020,35 to 44,149
20/03/2020,45 to 54,132
20/03/2020,55 to 64,101
20/03/2020,65+,122
21/03/2020,<1,3
21/03/2020,1 to 4,2
21/03/2020,5 to 14,16
21/03/2020,15 to 24,69
21/03/2020,25 to 34,166
21/03/2020,35 to 44,165
21/03/2020,45 to 54,158
21/03/2020,55 to 64,117
21/03/2020,65+,139
22/03/2020,<1,3
22/03/2020,1 to 4,2
22/03/2020,5 to 14,17
22/03/2020,15 to 24,77
22/03/2020,25 to 34,189
22/03/2020,35 to 44,183
22/03/2020,45 to 54,191
22/03/2020,55 to 64,136
22/03/2020,65+,165
23/03/2020,<1,3
23/03/2020,1 to 4,2
23/03/2020,5 to 14,20
23/03/2020,15 to 24,94
23/03/2020,25 to 34,228
23/03/2020,35 to 44,214
23/03/2020,45 to 54,229
23/03/2020,55 to 64,165
23/03/2020,65+,207
24/03/2020,<1,3
24/03/2020,1 to 4,5
24/03/2020,5 to 14,22
24/03/2020,15 to 24,111
24/03/2020,25 to 34,264
24/03/2020,35 to 44,246
24/03/2020,45 to 54,280
24/03/2020,55 to 64,197
24/03/2020,65+,252
25/03/2020,<1,3
25/03/2020,1 to 4,7
25/03/2020,5 to 14,25
25/03/2020,15 to 24,123
25/03/2020,25 to 34,310
25/03/2020,35 to 44,305
25/03/2020,45 to 54,320
25/03/2020,55 to 64,233
25/03/2020,65+,307
26/03/2020,<1,4
26/03/2020,1 to 4,10
26/03/2020,5 to 14,25
26/03/2020,15 to 24,136
26/03/2020,25 to 34,358
26/03/2020,35 to 44,353
26/03/2020,45 to 54,368
26/03/2020,55 to 64,271
26/03/2020,65+,373
27/03/2020,<1,4
27/03/2020,1 to 4,11
27/03/2020,5 to 14,29
27/03/2020,15 to 24,155
27/03/2020,25 to 34,408
27/03/2020,35 to 44,416
27/03/2020,45 to 54,432
27/03/2020,55 to 64,314
27/03/2020,65+,441
28/03/2020,<1,4
28/03/2020,1 to 4,11
28/03/2020,5 to 14,29
28/03/2020,15 to 24,171
28/03/2020,25 to 34,448
28/03/2020,35 to 44,448
28/03/2020,45 to 54,467
28/03/2020,55 to 64,360
28/03/2020,65+,511
29/03/2020,<1,6
29/03/2020,1 to 4,11
29/03/2020,5 to 14,30
29/03/2020,15 to 24,178
29/03/2020,25 to 34,477
29/03/2020,35 to 44,503
29/03/2020,45 to 54,504
29/03/2020,55 to 64,398
29/03/2020,65+,563
30/03/2020,<1,8
30/03/2020,1 to 4,11
30/03/2020,5 to 14,30
30/03/2020,15 to 24,194
30/03/2020,25 to 34,519
30/03/2020,35 to 44,550
30/03/2020,45 to 54,558
30/03/2020,55 to 64,440
30/03/2020,65+,673
31/03/2020,<1,8
31/03/2020,1 to 4,11
31/03/2020,5 to 14,30
31/03/2020,15 to 24,216
31/03/2020,25 to 34,564
31/03/2020,35 to 44,617
31/03/2020,45 to 54,608
31/03/2020,55 to 64,480
31/03/2020,65+,739
01/04/2020,<1,8
01/04/2020,1 to 4,12
01/04/2020,5 to 14,30
01/04/2020,15 to 24,235
01/04/2020,25 to 34,618
01/04/2020,35 to 44,685
01/04/2020,45 to 54,690
01/04/2020,55 to 64,537
01/04/2020,65+,831
02/04/2020,<1,9
02/04/2020,1 to 4,12
02/04/2020,5 to 14,33
02/04/2020,15 to 24,255
02/04/2020,25 to 34,678
02/04/2020,35 to 44,751
02/04/2020,45 to 54,764
02/04/2020,55 to 64,584
02/04/2020,65+,918
03/04/2020,<1,11
03/04/2020,1 to 4,32
03/04/2020,5 to 14,35
03/04/2020,15 to 24,270
03/04/2020,25 to 34,748
03/04/2020,35 to 44,808
03/04/2020,45 to 54,830
03/04/2020,55 to 64,647
03/04/2020,65+,1070
04/04/2020,<1,11
04/04/2020,1 to 4,13
04/04/2020,5 to 14,36
04/04/2020,15 to 24,287
04/04/2020,25 to 34,820
04/04/2020,35 to 44,902
04/04/2020,45 to 54,907
04/04/2020,55 to 64,697
04/04/2020,65+,1229
