date,ncase,ndeath,gender,area,country
27/02/2020,1,0,female,north,ireland
29/02/2020,1,0,male,east,ireland
03/03/2020,1,0,female,east,ireland
04/03/2020,2,0,female,west,ireland
04/03/2020,2,0,male,west,ireland
04/03/2020,2,0,unknown,north,ireland
05/03/2020,4,0,male,east,ireland
05/03/2020,2,0,female,west,ireland
05/03/2020,1,0,male,south,ireland
06/03/2020,1,0,male,east,ireland
06/03/2020,1,0,female,west,ireland
06/03/2020,2,0,female,south,ireland
06/03/2020,1,0,male,south,ireland
06/03/2020,1,0,unknown,north,ireland
07/03/2020,1,0,male,east,ireland
08/03/2020,1,0,female,east,ireland
08/03/2020,1,0,male,south,ireland
07/03/2020,3,0,unknown,north,ireland
09/03/2020,2,0,female,south,ireland
09/03/2020,1,0,female,west,ireland
08/03/2020,5,0,unknown,north,ireland
10/03/2020,4,0,male,south,ireland
10/03/2020,2,0,female,east,ireland
10/03/2020,1,0,male,west,ireland
10/03/2020,1,0,female,west,ireland
10/03/2020,1,0,female,south,ireland
10/03/2020,1,0,male,east,ireland
10/03/2020,4,0,unknown,north,ireland
11/03/2020,3,1,male,east,ireland
11/03/2020,5,0,male,south,ireland
11/03/2020,1,0,female,south,ireland
11/03/2020,2,0,unknown,north,ireland
11/03/2020,0,0,unknown,south,ireland
12/03/2020,27,0,unknown,unknown,ireland
12/03/2020,2,0,unknown,north,ireland
13/03/2020,20,0,unknown,unknown,ireland
13/03/2020,9,0,unknown,north,ireland
14/03/2020,5,0,unknown,north,ireland
14/03/2020,21,1,unknown,east,ireland
14/03/2020,13,0,unknown,south,ireland
14/03/2020,3,0,unknown,northwest,ireland
14/03/2020,2,0,unknown,west,ireland
21/02/2020,17,1,unknown,unknown,italy
22/02/2020,58,1,unknown,unknown,italy
23/02/2020,78,1,unknown,unknown,italy
24/02/2020,72,4,unknown,unknown,italy
25/02/2020,94,4,unknown,unknown,italy
26/02/2020,147,1,unknown,unknown,italy
27/02/2020,185,5,unknown,unknown,italy
28/02/2020,234,4,unknown,unknown,italy
