date,ncase,ndeath,gender
29/02/2020,1,0,male
03/03/2020,1,0,female
04/03/2020,2,0,male
04/03/2020,2,0,female
05/03/2020,5,0,male
05/03/2020,2,0,female
06/03/2020,2,0,male
06/03/2020,3,0,female
07/03/2020,1,0,male
07/03/2020,0,0,female
08/03/2020,1,0,male
08/03/2020,1,0,female
09/03/2020,0,0,male
09/03/2020,3,0,female
10/03/2020,6,0,male
10/03/2020,4,0,female
11/03/2020,8,0,male
11/03/2020,1,1,female
12/03/2020,27,0,unknown
13/03/2020,20,0,unknown
14/03/2020,29,1,male
14/03/2020,10,0,female
15/03/2020,23,0,male
15/03/2020,17,0,female
16/03/2020,30,0,male
16/03/2020,24,0,female
17/03/2020,29,0,male
17/03/2020,40,0,female
18/03/2020,45,0,male
18/03/2020,29,0,female
